name,key,hymn,sheet_type
爱，我愿意,D,385,pdf
爱，喜乐，生命,F,376,
As The Deer,D,251,
把冷漠变成爱,D,391,pdf
宝贵十架,A,--,pdf
Be Thou My Vision,,--,
单单敬拜,Eb,--,JPG
当我赞美,D,--,pdf
恩典的记号,D,--,pdf
恩典之路,F,--,pdf
何等恩典,G,--,pdf
Here For You,C,--,
Hi-Ne-Ni,Gm,--,
How Great Is Our God,C,--,
I Believe,F,--,
将天敞开,G,--,pdf
尽情的敬拜,G,--,pdf
进入你的同在,D,388,pdf
来吧，我们赞美,C,--,pdf
来充满我,D,--,pdf
立定心志,G,--,pdf
马槽歌,F,--,
满有能力,Bb,--,pdf
能不能,G,--,
你的爱,D,--,pdf
你的爱不离不弃,F#m,--,pdf
你是荣耀君王,F,255,
你是我的平安,G,291,png
你真伟大,Bb,--,pdf
Our God,G,--,
亲眼见你,G,--,pdf
倾听我的心,F,--,pdf
求主借异象感动我,,--,
全然向你,D,371,pdf
让赞美飞扬,G,372,pdf
日日夜夜,G,--,
如鹿渴慕溪水,D,251,JPG
如鹰展翅上腾,G,--,pdf
谁能使我与神的爱隔绝,A,--,pdf
神羔羊配得,A,--,pdf
深深爱你,E,--,pdf
圣灵请你来充满我心,G,--,pdf
使命,C,--,jpg
使我作你和平之子,,--,
他诚然担当,Bm,--,
万国都要来赞美主,D,272,JPG
委身之歌,E,--,jpg
我不知明天的道路,Bb,145,JPG
我的一生在你手中,Bb,--,pdf
我们爱戴的王,F,--,pdf
我们欢迎君王降临,F,--,pdf
我们敬拜你,,--,
我心切切渴慕你,D,--,pdf
我需要有你在我生命中,C,--,JPG
我要爱慕你,E,--,pdf
喜乐泉源,G,--,pdf
信实的神,F,--,pdf
宣教的中国,Bb,200,jpg
耶和华是爱,E,365,JPG
耶和华祝福满满,C,378,pdf
耶稣你是中心,C,,
耶稣在我里面,Eb,--,
耶稣！耶稣！,Bm,--,png
一颗谦卑的心,D,--,JPG
一生的选择,E,--,
一生敬拜你,C,--,pdf
因你与我同行,F,--,JPG
因他活着,Bb,106,JPG
有一位神,D,375,pdf
云上太阳,D,397,
赞美中遇见你,C,--,
展开清晨的翅膀,D,--,pdf
这世代,G,--,pdf
中国的早晨五点钟,D,191,
主我邀请你,Dm,292,
主耶稣我爱你,F,50,
最知心的朋友,D,186,
做与不做,Dm,--,pdf
坐在宝座上圣洁羔羊,C,387,pdf
