title,original_key,alternative_titles,lyricist,composer
爱 喜乐 生命,F,,,
爱赢了,C,,,
爱中不惧怕,F,,,
爱中相遇,C,,,
爱，我愿意,D,,,
把冷漠变成爱,D,,,
宝贵十架,A,,,
奔跑不放弃,F,,,
彩虹下的约定,C,,,
藏不住,D,,,
常常喜乐,G,,,
成为我异象,Eb,,,
充满在这里,A,,,
除祢以外,D,,,
赐福与你,D,,,
赐我自由,G,,,
从心合一,E,,,
从早晨到夜晚,F,,,
从这代到那代,E,,,
大山为我挪开,E,,,
单单敬拜,Eb,,,
祷告,D,,,
到加略山,D,,,
恩典之流,C,,,
恩典之路,F,,,
恩典之洋,A,,,
恩友歌,F,,,
凡事都能做,G,,,
丰盛的应许,F,,,
父啊！久在创世之前,F,,,
更深之处,G,,,
谷中百合花歌,E,,,
何等恩典,G,,,
贺祂为王歌 ,A,,,
Hi Ne Ni 我在这里,Gm,,,
How Great Is Our God,0,,,
活着为要敬拜祢,D,,,
I Believe,F,,,
基督我主今复活,C,,,
坚强的爱,A,,,
拣选,F,,,
将天敞开,G,,,
尽情的敬拜,G,,,
进入你的同在,D,,,
敬拜的心,F,,,
君王就在这里,Bb,,,
快乐崇拜歌,G,,,
来吧，我们赞美,C,,,
立定心志,G,,,
马槽歌,F,,,
满有能力,Bb,,,
祢爱永不变,E,,,
祢的爱不离不弃,A,,,
祢的信实广大,D,,,
祢恩典不离开,E,,,
祢是配得（圣哉圣哉全地唱）,G,,,
祢是我的平安,G,,,
祢是我的一切,D,,,
祢永远如此深爱着我,F,,,
祢真伟大,C,,,
能不能,G,,,
你的爱,D,,,
你们要赞美耶和华,F,,,
配得颂扬,G,,,
平安夜歌,A,,,
普世欢腾歌,D,,,
齐来崇拜歌,G,,,
奇异恩典 ,G,,,
亲眼见你,0,,,
倾倒,A,,,
倾听我的心,F,,,
求主充满我,D,,,
全能的创造主,A,,,
全然向祢,D,,,
让爱走动,G,,,
让赞美飞扬,G,,,
认识祢真好,G,,,
日日夜夜,G,,,
荣归天父歌,G,,,
荣耀的呼召,F,,,
荣耀歌,G,,,
如鹿渴慕溪水,A,,,
如鹰展翅上腾,G,,,
三百六十五天,C,,,
三博士歌,G,,,
三一来临歌,G,,,
上帝能够,F,,,
深触我心,G,,,
神羔羊配得,A,,,
深深爱祢,E,,,
圣诞佳音歌,D,,,
圣洁归于祢,A,,,
圣灵的江河,F,,,
圣灵请祢来充满我心,G,,,
圣灵请你来,G,,,
圣哉三一歌,E,,,
十架的爱,D,,,
十架为我荣耀,D,,,
十字架,F,,,
谁能使我与神的爱隔绝,A,,,
所有的荣耀归于祢,F,,,
祂诚然担当,Bm,,,
祂的爱一直都在 ,A,,,
万福泉源歌,D,,,
万王之王 ,D,,,
委身之歌,E,,,
唯有基督 ,Db,,,
唯有耶稣,G,,,
我爱慕你的律法,D,,,
我不知明天的道路/我知谁掌管明天,Bb,,,
我的救赎者活着,A,,,
我的生命献给祢,A,,,
我的心你要称颂耶和华,C,,,
我的一生在祢手中,A,,,
我渴望看见,F,,,
我们爱戴的王,F,,,
我们呼求,G,,,
我们欢迎君王降临,F,,,
我献上生命 ,F,,,
我心切切渴慕祢,D,,,
我心属于祢,D,,,
我需要有祢在我生命中,C,,,
我要爱慕祢,E,,,
我要看见,C,,,
我要全心赞美,F,,,
我要顺服,D,,,
我要向高山举目,D,,,
我要一心称谢祢,A,,,
我以祷告来到祢面前,A,,,
我已经决定,G,,,
我愿降服 ,G,,,
喜乐泉源,G,,,
牺牲的爱,C,,,
献上感恩 ,E,,,
献上自己为祭,C,,,
小伯利恒歌,G,,,
新的异象，新的方向,G,,,
新生王歌,F,,,
宣教的中国,Bb,,,
亚伯拉罕的主歌,Ab,,,
耶和华祢是我的神,D,,,
耶和华祝福满满,C,,,
耶稣爱你,D,,,
耶稣你是中心 ,C,,,
耶稣！耶稣！,Bm,,,
一粒麦子,Dm,,,
以马内利来临歌,G,,,
一生爱祢,E,,,
一生敬拜祢,C,,,
医治我,Bb,,,
因祢与我同行,F,,,
因祂活着 ,G,,,
永恒的主,F,,,
永活盼望 ,A,,,
用祢双手拥抱我,G,,,
有一位神,D,,,
云上太阳,D,,,
再次将我更新,A,,,
在各各他山上,A,,,
在祢宝座前,A,,,
在祢呼召之地,F,,,
赞美之泉,D,,,
赞美中遇见祢,C,,,
展开清晨的翅膀,D,,,
这里有荣耀,G,,,
这世代,G,,,
这是天父世界,D,,,
这是耶和华所定的日子,E,,,
这一生最美的祝福,D,,,
震动天地,G,,,
中国的早晨五点钟,0,,,
主的恩典乃是一生之久,D,,,
主的喜乐是我力量,E,,,
主复活歌,A,,,
主活在我心歌,A,,,
主你是我力量,G,,,
主我高举祢的名 ,G,,,
主我敬拜祢,F,,,
主，我邀请祢,Dm,,,
转回,Ab,,,
最知心的朋友,D,,,
坐在宝座上圣洁羔羊,C,,,
